set,cluster,num_images
1,S1_cluster0,3
1,S1_cluster1,2
1,S1_cluster10,2
1,S1_cluster100,4
1,S1_cluster11,6
1,S1_cluster12,2
1,S1_cluster13,2
1,S1_cluster14,5
1,S1_cluster15,2
1,S1_cluster16,2
1,S1_cluster17,4
1,S1_cluster18,3
1,S1_cluster19,2
1,S1_cluster2,3
1,S1_cluster20,7
1,S1_cluster21,6
1,S1_cluster22,8
1,S1_cluster23,2
1,S1_cluster24,27
1,S1_cluster25,6
1,S1_cluster26,2
1,S1_cluster27,4
1,S1_cluster28,2
1,S1_cluster29,65
1,S1_cluster3,2
1,S1_cluster30,2
1,S1_cluster31,2
1,S1_cluster32,2
1,S1_cluster33,2
1,S1_cluster34,2
1,S1_cluster35,5
1,S1_cluster36,16
1,S1_cluster37,2
1,S1_cluster38,56
1,S1_cluster39,4
1,S1_cluster4,3
1,S1_cluster40,4
1,S1_cluster41,3
1,S1_cluster42,2
1,S1_cluster43,10
1,S1_cluster44,2
1,S1_cluster45,2
1,S1_cluster46,25
1,S1_cluster47,5
1,S1_cluster48,2
1,S1_cluster49,92
1,S1_cluster5,8
1,S1_cluster50,2
1,S1_cluster51,4
1,S1_cluster52,4
1,S1_cluster53,2
1,S1_cluster54,2
1,S1_cluster55,2
1,S1_cluster56,2
1,S1_cluster57,6
1,S1_cluster58,7
1,S1_cluster59,4
1,S1_cluster6,3
1,S1_cluster60,2
1,S1_cluster61,5
1,S1_cluster62,7
1,S1_cluster63,10
1,S1_cluster64,2
1,S1_cluster65,2
1,S1_cluster66,2
1,S1_cluster67,2
1,S1_cluster68,4
1,S1_cluster69,2
1,S1_cluster7,2
1,S1_cluster70,2
1,S1_cluster71,2
1,S1_cluster72,12
1,S1_cluster73,12
1,S1_cluster74,2
1,S1_cluster75,2
1,S1_cluster76,4
1,S1_cluster77,2
1,S1_cluster78,2
1,S1_cluster79,4
1,S1_cluster8,2
1,S1_cluster80,22
1,S1_cluster81,8
1,S1_cluster82,45
1,S1_cluster83,47
1,S1_cluster84,4
1,S1_cluster85,4
1,S1_cluster86,3
1,S1_cluster87,2
1,S1_cluster88,11
1,S1_cluster89,6
1,S1_cluster9,2
1,S1_cluster90,5
1,S1_cluster91,15
1,S1_cluster92,12
1,S1_cluster93,38
1,S1_cluster94,2
1,S1_cluster95,6
1,S1_cluster96,2
1,S1_cluster97,3
1,S1_cluster98,2
1,S1_cluster99,2
1,noise,211
2,S2_cluster0,2
